URL,Slug,Route source,Page type,Subtype,HTTP status,Indexable,Robots,Canonical,Self-canonical,Sitemap status,Title,H1,Meta description,SSR main content,Internal inlinks,Click depth,Orphan,Content fingerprint,Quality status
https://derivativecalculatorai.com/,,home,other,other,200,Yes,index,https://derivativecalculatorai.com/,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/integral,integral,integral-calculator,other,other,200,Yes,index,https://derivativecalculatorai.com/integral,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/limit,limit,limit-calculator,other,other,200,Yes,index,https://derivativecalculatorai.com/limit,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/ode,ode,ode-calculator,other,other,200,Yes,index,https://derivativecalculatorai.com/ode,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/matrix,matrix,matrix-calculator,other,other,200,Yes,index,https://derivativecalculatorai.com/matrix,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/calculators,calculators,hub,other,other,200,Yes,index,https://derivativecalculatorai.com/calculators,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/problems,problems,hub,other,other,200,Yes,index,https://derivativecalculatorai.com/problems,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/directory,directory,hub,other,other,200,Yes,index,https://derivativecalculatorai.com/directory,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/wiki,wiki,hub,other,other,200,Yes,index,https://derivativecalculatorai.com/wiki,Yes,Included,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/about,about,static,other,other,200,Yes,index,https://derivativecalculatorai.com/about,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/contact,contact,static,other,other,200,Yes,index,https://derivativecalculatorai.com/contact,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/privacy,privacy,static,other,other,200,Yes,index,https://derivativecalculatorai.com/privacy,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-x-squared,derivative-of-x-squared,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-x-squared,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-sin-x,derivative-of-sin-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-sin-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-cos-x,derivative-of-cos-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-cos-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-tan-x,derivative-of-tan-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-tan-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-ln-x,derivative-of-ln-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-ln-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-e-to-the-x,derivative-of-e-to-the-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-e-to-the-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-1-over-x,derivative-of-1-over-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-1-over-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-sqrt-x,derivative-of-sqrt-x,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-sqrt-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-x-cubed,derivative-of-x-cubed,problems.json,derivative,problem,200,No,noindex,https://derivativecalculatorai.com/derivative-of-x-cubed,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-log-x,derivative-of-log-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-log-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-sec-x,derivative-of-sec-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-sec-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-csc-x,derivative-of-csc-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-csc-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-cot-x,derivative-of-cot-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-cot-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-arcsin-x,derivative-of-arcsin-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-arcsin-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
https://derivativecalculatorai.com/derivative-of-arccos-x,derivative-of-arccos-x,problems.json,derivative,problem,200,Yes,index,https://derivativecalculatorai.com/derivative-of-arccos-x,Yes,Excluded,,,Yes,Partial,0,0,Unknown,,Not reviewed
